tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
0;1;0;12;0;3;
2;3;0;10;0;0;
4;14;2;1;0;5;
3;7;1;6;0;12;
4;10;0;4;0;0;
9;12;1;3;3;4;
2;2;0;8;0;2;
4;15;3;1;3;12;
8;4;1;4;0;6;
1;15;1;1;2;1;
5;2;0;6;0;4;
7;1;1;10;0;7;
0;3;1;5;0;4;
1;7;4;3;1;31;
4;0;0;12;0;0;
0;4;5;5;3;21;
2;0;1;10;1;7;
4;7;0;3;0;0;
0;4;0;3;0;0;
5;2;1;7;0;7;
9;3;0;4;0;0;
1;3;0;7;0;4;
6;1;2;8;0;7;
9;11;2;2;1;6;
3;6;2;3;0;6;
5;1;0;12;0;1;
7;2;0;8;1;2;
2;13;4;2;2;13;
5;0;0;12;0;1;
9;13;2;1;0;3;
0;15;2;1;0;8;
3;3;0;5;0;0;
7;2;0;7;0;0;
5;4;1;6;0;6;
7;0;0;12;0;2;
10;15;2;1;0;7;
3;3;0;10;2;7;
6;7;2;3;0;10;
7;3;0;9;1;10;
0;2;1;7;0;4;
2;4;0;4;0;3;
9;15;1;1;3;10;
2;15;2;1;0;5;
6;5;0;6;0;4;
11;5;2;4;1;12;
0;7;2;6;0;8;
3;1;0;11;0;3;
9;15;2;1;1;8;
4;3;0;10;0;2;
6;5;0;7;0;4;
8;7;4;4;2;21;
3;3;0;7;0;3;
4;14;1;3;0;2;
11;4;3;5;1;12;
2;0;0;12;0;0;
3;3;1;5;0;6;
8;2;1;7;1;10;
