laserCarId;Time Survived;Kills;Rank;Used Nitros;
7;1;0;14;0;
8;29;3;2;0;
3;7;0;7;0;
6;6;0;9;0;
8;1;0;12;0;
11;0;0;13;0;
1;6;0;7;0;
3;2;1;14;1;
8;1;0;15;0;
15;4;1;9;1;
1;3;1;8;0;
3;2;1;10;1;
9;2;0;12;0;
13;13;3;4;0;
1;5;1;9;0;
6;4;0;11;0;
9;5;1;8;1;
14;1;0;15;0;
2;42;0;4;1;
4;0;0;16;0;
12;60;5;1;0;
14;3;1;9;1;
2;13;0;7;0;
4;2;1;9;0;
5;60;1;1;0;
9;0;0;15;0;
1;6;1;8;0;
5;3;0;9;0;
10;34;3;1;1;
13;1;1;10;1;
1;1;1;10;0;
2;7;1;4;0;
11;37;3;1;2;
15;13;1;3;0;
4;4;0;7;1;
6;0;0;15;0;
9;1;0;10;0;
15;9;4;4;0;
5;4;1;5;0;
8;2;0;11;1;
9;0;0;13;1;
12;17;2;1;1;
0;0;0;16;0;
3;4;0;7;1;
8;0;0;13;0;
11;0;0;11;0;
5;4;2;8;0;
6;13;1;3;1;
11;0;0;15;0;
12;45;4;1;1;
3;5;1;9;0;
4;0;0;15;0;
6;0;0;16;0;
15;32;6;1;0;
1;1;2;12;0;
3;1;0;14;0;
5;1;0;13;1;
9;2;0;11;0;
2;2;0;12;1;
4;60;2;1;0;
5;1;0;13;0;
9;0;0;15;0;
3;4;0;8;1;
7;3;2;9;0;
12;0;0;16;0;
13;1;0;14;0;
2;1;0;13;0;
6;0;0;14;0;
11;39;2;4;0;
12;60;3;1;0;
1;31;3;1;0;
4;8;0;10;0;
5;0;1;14;0;
13;2;0;13;1;
1;2;1;10;1;
11;3;0;9;1;
12;2;1;12;0;
14;5;2;7;0;
3;0;0;16;0;
9;27;0;4;0;
10;6;1;5;0;
11;6;0;6;0;
3;51;1;2;1;
6;1;0;15;0;
11;3;0;11;0;
13;1;1;14;1;
1;11;1;3;2;
10;50;2;2;0;
13;50;5;1;1;
15;5;0;8;1;
1;5;1;6;1;
6;2;0;10;0;
13;60;1;1;2;
15;0;0;12;0;
2;60;2;1;0;
5;12;3;4;0;
8;8;0;7;0;
9;3;0;12;0;
5;9;1;7;0;
6;22;1;4;0;
9;0;0;16;0;
15;0;2;12;0;
2;60;1;1;1;
8;0;0;15;0;
10;1;0;12;0;
15;34;3;3;0;
9;1;0;14;1;
12;8;3;4;0;
13;2;2;11;1;
15;10;2;3;0;
2;0;0;15;0;
5;5;0;6;0;
9;1;0;14;1;
11;2;1;10;0;
0;2;0;14;1;
7;16;0;3;0;
8;8;2;4;0;
15;3;2;8;0;
2;8;1;7;0;
5;6;1;8;0;
9;1;0;14;1;
10;3;0;12;1;
0;60;1;1;1;
4;1;0;10;0;
8;0;0;14;0;
10;0;0;13;0;
4;2;1;12;0;
6;0;0;15;0;
13;27;2;2;1;
14;0;0;16;0;
1;2;2;12;0;
8;7;1;6;0;
9;4;1;8;0;
14;3;0;11;0;
1;0;0;15;1;
8;4;0;11;0;
12;8;4;4;0;
14;7;0;5;1;
0;8;0;8;0;
3;18;1;4;0;
4;10;0;6;0;
12;8;2;7;0;
7;3;0;11;0;
10;8;2;4;0;
13;1;0;14;0;
14;6;0;6;0;
6;4;1;9;2;
8;0;0;14;1;
10;13;1;7;0;
12;0;0;15;0;
2;0;0;15;0;
8;1;0;14;0;
10;2;0;13;0;
14;5;3;5;0;
0;1;0;14;0;
1;4;1;12;0;
6;7;2;9;0;
7;1;0;15;1;
3;10;1;7;1;
4;7;0;8;0;
11;1;0;14;0;
15;32;3;2;0;
