laserCarId;Time Survived;Kills;Rank;Used Nitros;
3;40;1;2;0;
5;1;0;15;1;
11;6;0;7;2;
12;1;0;16;0;
2;0;0;16;0;
3;0;0;15;0;
4;2;0;9;0;
9;8;2;6;0;
1;3;0;11;0;
3;54;5;1;0;
10;21;0;3;1;
12;6;3;6;0;
2;5;0;8;0;
10;5;0;9;0;
13;8;2;6;0;
14;8;0;5;0;
3;4;0;9;0;
4;3;0;13;0;
8;60;2;1;1;
11;4;1;10;0;
4;0;0;16;0;
6;5;0;10;0;
8;1;0;14;0;
10;4;0;11;0;
5;0;0;16;0;
7;5;3;6;0;
8;1;0;14;0;
11;1;1;13;0;
2;19;1;4;1;
11;60;1;1;0;
12;10;1;5;0;
14;0;0;16;0;
6;1;0;13;0;
7;1;0;11;0;
12;7;1;3;0;
15;15;3;1;1;
0;1;0;10;0;
9;0;0;13;0;
12;9;0;4;2;
15;17;5;1;2;
5;2;0;10;0;
7;58;3;2;1;
10;0;0;15;1;
14;58;4;1;0;
0;59;1;1;2;
5;9;1;7;0;
7;2;0;15;1;
13;9;3;6;0;
0;60;0;1;1;
9;3;0;10;1;
10;0;0;16;0;
12;0;0;12;0;
0;19;0;3;0;
4;3;0;12;0;
11;60;1;1;0;
14;16;2;4;0;
6;60;3;1;1;
9;0;0;14;0;
10;3;1;10;1;
11;60;1;1;1;
0;13;1;3;0;
6;7;0;5;0;
12;0;0;15;0;
13;5;0;6;0;
2;1;0;15;0;
3;2;1;10;0;
6;3;0;9;0;
7;5;0;3;0;
7;2;0;13;0;
10;2;0;12;0;
11;37;2;2;0;
15;37;6;1;1;
0;60;2;1;1;
3;2;0;13;0;
4;2;0;12;1;
5;0;0;15;0;
6;10;1;5;1;
9;6;0;6;0;
11;1;0;15;0;
14;4;4;8;0;
5;27;2;2;0;
7;0;0;16;0;
10;1;0;13;0;
15;18;4;4;1;
1;1;0;15;0;
3;3;1;8;1;
11;1;0;12;1;
12;1;0;13;0;
2;7;2;4;0;
6;0;0;12;0;
7;60;2;1;0;
15;3;0;9;0;
2;6;0;6;0;
5;3;0;11;1;
10;0;1;15;0;
12;23;3;4;1;
1;6;2;7;1;
4;1;0;12;0;
9;7;0;6;1;
12;4;1;8;1;
0;25;0;3;0;
10;11;2;5;1;
12;4;3;8;0;
14;7;2;6;0;
0;45;1;3;1;
4;5;0;9;1;
6;6;0;7;1;
8;21;4;5;1;
2;0;0;16;0;
6;3;0;10;0;
10;10;2;5;0;
11;26;3;2;0;
1;3;1;10;0;
3;8;1;7;1;
7;0;0;15;0;
13;1;0;12;0;
0;1;1;12;1;
2;0;0;16;1;
10;57;1;3;0;
11;7;0;8;0;
0;34;0;3;0;
2;1;1;14;1;
8;4;1;8;0;
13;53;5;1;1;
0;27;2;3;0;
2;0;0;16;0;
6;3;0;9;0;
8;35;4;1;0;
0;1;0;11;0;
2;0;0;16;0;
3;0;1;14;0;
14;1;1;13;0;
1;7;1;5;0;
6;1;0;12;0;
7;0;1;13;0;
10;2;1;11;0;
1;33;1;3;1;
3;3;0;7;0;
8;0;0;16;1;
15;8;2;5;1;
0;4;1;9;0;
5;2;0;12;0;
8;0;0;15;0;
15;60;2;1;1;
1;10;1;5;0;
5;4;0;8;1;
7;1;0;14;0;
12;1;0;13;0;
2;3;0;10;0;
4;5;0;7;1;
5;22;2;2;2;
14;22;3;1;0;
1;0;1;13;1;
3;3;0;11;0;
5;7;0;7;0;
8;3;1;10;0;
4;4;0;9;1;
5;5;0;7;1;
11;60;3;1;0;
15;13;3;4;1;
0;32;2;2;0;
2;32;0;1;1;
6;3;0;12;0;
13;3;1;11;0;
0;4;0;7;1;
1;13;0;4;0;
4;0;0;16;0;
13;4;1;6;0;
3;4;1;7;0;
8;1;0;13;0;
10;9;2;4;0;
11;2;0;8;0;
7;60;1;1;1;
9;2;1;9;0;
14;22;4;3;1;
15;60;2;1;2;
1;60;1;1;2;
5;3;0;13;1;
8;5;2;8;0;
14;2;0;14;0;
2;0;0;16;0;
5;6;0;9;0;
9;1;0;13;1;
15;14;2;2;0;
4;5;1;8;0;
5;3;0;10;0;
14;0;1;14;0;
15;13;2;5;0;
3;1;0;16;0;
12;8;1;4;0;
14;4;4;7;0;
15;60;2;1;2;
0;2;2;10;1;
2;1;0;12;1;
5;14;2;5;1;
9;60;2;1;0;
1;4;0;12;1;
4;33;1;3;0;
5;12;1;4;0;
13;4;1;11;1;
2;60;1;1;0;
10;15;0;5;0;
11;0;0;16;0;
12;0;0;13;1;
6;0;0;15;1;
9;12;1;3;0;
10;4;2;7;1;
13;6;1;6;0;
1;9;1;6;0;
3;0;0;16;0;
7;3;0;9;0;
15;43;4;3;1;
4;5;2;10;0;
5;19;1;3;0;
10;5;0;8;1;
12;0;0;15;0;
6;0;0;16;0;
10;2;1;10;0;
11;1;0;13;0;
14;4;2;7;0;
4;18;1;4;0;
5;3;0;6;0;
6;0;0;14;0;
7;1;0;10;1;
0;38;2;3;1;
2;1;0;13;0;
5;3;0;11;0;
14;45;2;1;3;
3;1;0;14;0;
6;1;0;13;1;
11;9;0;8;0;
13;1;0;15;0;
4;3;1;10;0;
5;2;1;12;1;
6;1;0;16;0;
11;3;0;9;0;
0;1;0;15;0;
6;9;0;3;1;
