tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
3;10;3;3;1;12;
10;0;0;15;0;3;
11;0;0;16;0;0;
4;36;3;2;2;11;
9;3;0;9;0;2;
14;25;2;3;1;12;
15;5;0;8;0;2;
6;2;0;12;0;2;
7;7;1;6;0;7;
13;0;0;16;0;0;
14;2;0;13;0;4;
3;0;0;16;0;1;
4;2;1;13;0;6;
8;10;2;5;1;8;
11;11;2;4;0;15;
3;7;2;5;0;20;
9;1;1;13;0;7;
14;51;2;1;0;9;
15;18;2;3;1;10;
5;2;1;10;0;6;
7;7;0;6;0;1;
13;1;1;15;0;4;
15;60;6;1;1;15;
4;6;0;7;2;0;
6;2;0;10;0;4;
8;10;0;5;0;2;
11;11;1;4;1;5;
2;11;1;5;0;3;
6;6;3;6;0;18;
7;0;0;16;0;0;
15;31;3;3;1;20;
1;14;3;3;1;16;
3;7;0;8;2;1;
12;14;3;1;2;11;
14;8;0;7;0;2;
0;23;1;4;2;9;
8;25;2;1;0;6;
9;9;1;7;1;8;
12;23;5;3;2;22;
1;3;1;10;0;5;
2;2;2;11;0;18;
5;2;0;13;1;0;
7;6;1;5;0;8;
4;21;1;4;1;11;
8;28;1;3;1;3;
11;11;2;6;0;13;
14;0;0;14;1;1;
8;9;3;5;0;15;
9;1;0;16;0;6;
12;42;2;1;0;6;
14;42;1;2;1;3;
1;24;2;3;1;5;
4;4;0;10;1;8;
7;11;0;6;1;11;
8;18;2;4;1;12;
1;3;0;11;0;0;
2;4;1;8;1;11;
3;1;1;12;1;8;
8;3;1;10;0;6;
11;3;1;10;0;6;
12;10;1;5;2;8;
13;47;3;1;1;15;
14;0;0;14;1;0;
1;3;0;11;1;1;
7;16;1;4;1;7;
13;39;2;1;2;3;
14;6;2;7;1;9;
5;60;1;1;0;5;
8;27;3;3;0;5;
9;4;2;6;0;7;
15;60;1;1;2;6;
2;4;0;5;0;1;
9;60;3;1;3;11;
11;0;0;16;0;0;
13;1;0;12;0;1;
6;18;0;4;1;9;
8;10;1;6;0;5;
10;4;3;7;1;19;
15;44;3;2;0;10;
0;60;1;1;2;7;
5;11;2;6;0;20;
8;1;2;12;0;15;
14;16;3;3;0;10;
0;58;2;2;3;7;
7;55;4;3;1;21;
10;44;1;4;2;7;
14;58;3;1;1;8;
4;2;1;10;0;8;
9;8;1;6;0;3;
10;0;0;16;0;1;
12;29;2;1;2;7;
4;52;4;2;1;16;
7;0;0;16;0;2;
10;0;2;14;0;7;
12;10;3;5;1;17;
0;50;2;2;0;11;
10;50;2;1;2;5;
13;11;0;5;1;2;
14;13;2;4;0;10;
4;0;0;14;0;0;
7;35;3;1;1;11;
12;3;1;9;0;3;
14;0;0;15;0;4;
0;9;1;5;1;7;
10;8;2;7;0;11;
12;31;2;4;1;10;
15;54;3;1;0;7;
3;0;0;15;0;8;
5;60;1;1;0;5;
8;2;1;10;0;7;
13;2;1;12;1;9;
3;54;2;3;2;6;
8;60;1;1;3;14;
12;2;1;11;0;7;
14;25;4;4;1;14;
4;34;2;3;2;10;
8;1;1;11;0;6;
11;0;0;16;1;0;
15;34;1;2;0;5;
5;3;0;8;1;3;
7;4;2;6;1;9;
10;1;0;13;0;1;
12;37;3;2;2;18;
1;3;2;9;0;14;
5;5;3;6;0;10;
10;1;0;11;0;4;
14;60;3;1;0;12;
0;17;2;2;1;13;
4;4;3;6;0;7;
14;2;1;10;0;3;
15;4;2;8;1;24;
1;60;1;1;4;10;
9;0;1;12;0;3;
13;7;3;6;1;13;
14;2;0;10;0;0;
1;1;0;14;1;16;
3;3;1;9;1;5;
14;3;0;10;0;0;
15;8;3;5;0;14;
1;8;1;6;0;1;
5;3;1;10;0;7;
11;17;1;4;1;13;
13;17;0;5;1;3;
2;8;3;5;1;12;
10;6;0;6;0;4;
12;4;2;9;1;12;
13;27;4;1;1;12;
8;2;1;11;0;6;
10;60;2;1;1;5;
14;18;1;5;3;15;
15;13;2;6;0;7;
1;33;3;3;0;18;
11;35;4;1;1;21;
14;9;1;5;1;4;
15;22;3;4;1;13;
4;7;0;7;0;8;
5;7;1;8;0;8;
7;6;1;9;1;13;
13;0;0;16;0;0;
2;3;0;12;0;0;
9;11;0;6;0;9;
10;30;1;2;3;4;
15;8;2;9;1;16;
5;7;2;5;0;7;
8;0;0;15;0;0;
10;29;5;2;1;20;
13;29;2;1;3;2;
4;1;1;12;1;7;
5;43;6;1;1;21;
6;1;1;11;0;2;
15;36;1;3;1;6;
1;5;2;5;0;9;
4;51;3;1;0;11;
7;1;0;12;0;2;
8;5;3;7;0;15;
4;3;0;9;0;3;
6;6;2;6;1;11;
7;0;0;15;0;0;
11;7;0;4;0;1;
2;4;4;8;0;18;
4;0;0;15;0;0;
5;60;1;1;2;5;
14;48;3;3;2;11;
0;7;0;8;0;2;
1;1;0;15;1;7;
7;10;2;5;1;19;
13;9;3;6;0;10;
1;60;1;1;1;1;
2;60;2;1;1;5;
3;28;1;3;1;9;
10;1;1;11;0;6;
3;60;1;1;1;3;
5;1;0;11;0;3;
6;7;2;4;0;10;
11;3;2;5;1;14;
3;3;4;7;0;13;
6;2;0;10;0;4;
7;2;0;8;0;2;
14;12;1;1;1;2;
0;18;2;3;2;9;
1;3;2;9;0;6;
4;2;1;13;0;9;
10;60;2;1;4;13;
3;3;1;12;0;6;
5;8;2;5;1;12;
9;60;1;1;4;10;
14;3;1;9;0;10;
0;60;2;1;0;14;
4;0;0;15;0;0;
7;24;2;3;2;11;
14;14;2;5;1;6;
2;6;3;7;0;12;
3;0;0;16;0;0;
11;6;2;6;1;9;
13;1;1;12;0;6;
0;11;1;6;1;9;
2;14;5;3;1;23;
5;4;0;9;1;4;
12;1;0;13;0;0;
0;5;0;7;1;0;
3;0;0;16;0;0;
10;9;2;5;1;15;
11;3;1;10;0;5;
3;4;1;12;0;8;
7;9;2;3;0;13;
10;4;1;8;0;1;
11;37;2;1;1;5;
5;2;0;11;1;1;
7;2;1;12;1;6;
11;33;2;3;2;13;
14;47;3;1;0;7;
0;31;0;3;0;1;
2;60;5;1;2;17;
6;1;1;13;0;8;
12;3;1;8;0;5;
3;49;2;3;2;11;
9;1;0;12;0;1;
11;17;2;5;0;15;
15;8;1;8;0;11;
4;60;2;1;1;8;
5;3;0;11;0;4;
6;6;0;4;0;1;
7;3;1;10;1;8;
8;6;0;10;0;3;
9;60;1;1;2;1;
10;8;1;8;0;13;
15;26;1;3;0;7;
0;32;3;1;1;9;
5;17;2;3;0;11;
6;2;0;13;0;0;
7;3;1;12;0;7;
