tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
0;6;1;9;0;8;
6;1;1;14;0;11;
8;3;0;10;0;0;
14;20;0;3;2;0;
1;2;2;10;0;11;
10;36;2;1;1;3;
11;23;3;3;2;14;
14;36;1;2;0;5;
0;7;1;4;0;7;
5;4;2;8;0;8;
6;1;0;14;0;0;
11;3;0;9;1;5;
3;2;2;11;1;10;
8;4;0;10;1;10;
9;1;0;16;0;1;
12;26;5;2;0;16;
0;4;1;12;0;5;
5;8;0;6;1;0;
6;60;3;1;1;9;
7;6;1;7;1;5;
1;18;3;3;0;18;
3;6;2;9;1;10;
12;15;2;5;0;11;
14;6;1;7;0;9;
0;3;0;9;2;4;
1;2;0;12;1;2;
3;3;1;10;1;6;
4;9;3;4;2;13;
0;8;1;6;1;7;
6;60;2;1;2;10;
7;4;1;10;1;8;
15;60;2;1;1;7;
2;5;2;7;1;9;
3;0;0;16;0;0;
9;2;0;9;0;2;
11;2;2;8;0;8;
1;2;1;8;0;7;
3;4;2;6;0;8;
7;2;1;7;0;6;
11;14;1;3;2;6;
4;20;2;4;1;6;
8;21;1;3;2;5;
9;0;0;16;0;0;
15;13;1;5;1;6;
6;4;0;10;0;0;
10;4;1;9;0;6;
11;59;2;2;2;18;
14;22;3;3;0;13;
3;26;3;4;1;15;
7;0;0;14;0;3;
8;6;0;9;0;3;
15;60;2;1;2;14;
1;1;0;14;0;0;
3;13;2;5;0;10;
12;5;2;8;0;7;
13;60;2;1;0;9;
2;3;1;9;1;6;
4;6;1;8;0;11;
13;8;4;5;0;15;
14;2;0;12;0;0;
1;60;1;1;4;5;
9;60;3;1;1;11;
14;2;0;13;0;0;
15;4;1;10;1;7;
1;8;3;1;1;17;
9;1;0;14;0;0;
11;4;1;4;0;8;
12;0;0;16;0;3;
0;17;1;3;0;5;
5;1;0;14;0;2;
6;8;1;7;0;8;
8;3;0;11;0;3;
1;60;1;1;1;8;
10;7;1;8;1;6;
12;7;2;6;0;11;
15;7;2;4;0;6;
7;1;0;13;0;4;
8;3;0;10;0;4;
12;3;1;9;1;16;
13;2;0;12;1;1;
3;27;1;1;1;7;
8;4;1;7;0;5;
11;2;1;10;0;9;
13;3;0;9;0;0;
5;1;2;11;0;6;
6;1;0;14;0;4;
9;2;1;9;0;6;
13;8;2;6;1;18;
1;25;1;3;1;6;
4;2;1;10;1;12;
5;2;0;11;1;1;
14;4;2;6;0;7;
6;60;3;1;0;8;
11;43;1;3;3;4;
13;3;0;12;0;2;
15;1;0;14;0;2;
3;0;0;16;0;0;
5;21;2;3;0;12;
6;10;2;4;0;9;
13;2;1;10;0;11;
2;2;0;11;0;0;
4;14;1;4;0;8;
6;3;0;10;1;1;
7;60;4;1;1;15;
1;3;1;10;0;7;
7;12;1;6;1;10;
10;60;0;1;1;4;
14;0;1;14;0;5;
4;4;1;8;0;3;
5;26;3;3;1;18;
13;26;2;1;3;8;
14;1;0;14;1;0;
0;5;0;8;0;2;
5;9;1;6;1;9;
10;48;3;1;2;10;
15;13;3;4;0;13;
6;4;0;9;0;4;
8;1;2;11;1;11;
9;60;2;1;0;10;
14;60;2;1;0;2;
3;4;2;9;0;11;
5;3;0;10;1;2;
11;5;0;7;0;2;
15;7;1;6;1;6;
4;22;0;4;1;0;
9;1;0;13;0;1;
12;11;2;6;0;8;
13;20;1;5;2;10;
5;8;1;5;0;13;
6;8;2;4;1;12;
12;0;0;15;0;0;
13;15;1;3;0;7;
4;3;0;10;0;7;
8;36;2;2;2;7;
11;0;0;16;0;0;
13;36;5;1;0;13;
2;58;0;2;1;3;
4;1;1;12;0;9;
6;1;1;10;0;6;
7;8;1;4;0;9;
3;60;3;1;1;13;
10;15;1;4;2;10;
12;6;1;8;1;4;
14;9;1;6;1;9;
2;26;3;3;1;6;
9;1;0;12;0;4;
10;47;5;1;2;10;
11;9;0;6;0;5;
1;4;1;9;1;6;
