normalCarId;Time Survived;Kills;Rank;Used Nitros;
7;7;1;8;1;
8;1;0;14;0;
10;1;1;12;1;
14;32;0;2;1;
4;11;0;4;0;
6;5;0;8;0;
8;0;0;15;0;
14;2;0;10;1;
3;3;0;10;0;
11;45;2;3;3;
12;0;0;16;0;
13;8;0;8;0;
0;2;0;11;0;
2;2;0;12;1;
5;5;0;7;0;
9;0;0;15;0;
0;9;1;6;1;
1;29;0;5;1;
10;3;1;10;0;
14;60;2;1;2;
0;19;3;3;2;
8;13;0;5;2;
11;5;0;11;0;
12;11;1;7;0;
3;2;0;11;1;
4;7;0;6;0;
6;1;0;14;1;
15;8;1;3;0;
0;3;1;7;0;
7;1;0;10;0;
12;2;0;8;0;
13;43;0;2;4;
9;1;0;13;0;
10;0;0;16;1;
12;6;0;4;1;
15;4;2;9;1;
0;3;0;10;0;
2;0;0;16;0;
8;1;0;14;0;
12;2;0;11;0;
0;5;0;7;0;
8;25;2;4;0;
9;0;1;13;0;
11;3;0;9;0;
6;1;0;13;0;
11;3;0;11;0;
14;60;2;1;4;
15;7;0;9;0;
0;11;0;5;3;
4;2;1;8;1;
7;0;0;15;0;
8;10;1;6;0;
1;1;0;13;0;
4;2;1;10;0;
7;0;0;14;0;
14;3;0;6;1;
0;4;0;6;0;
5;0;0;15;0;
10;1;0;13;1;
11;1;0;12;0;
3;0;0;16;0;
7;4;1;7;0;
13;12;1;4;0;
15;3;1;8;0;
1;5;0;7;0;
2;6;0;6;0;
4;2;0;15;1;
10;1;0;16;0;
3;12;1;6;0;
8;6;0;9;1;
11;1;0;13;0;
13;60;1;1;3;
1;37;1;4;0;
12;36;1;5;1;
14;60;1;1;0;
15;38;2;3;3;
1;1;0;14;1;
7;3;0;11;0;
8;7;0;7;1;
9;5;0;8;0;
4;0;0;15;0;
5;4;1;9;1;
7;1;0;14;1;
13;1;0;13;1;
0;6;1;6;1;
6;0;0;16;0;
9;4;0;10;0;
15;37;1;2;1;
1;0;0;15;0;
8;47;1;2;1;
9;2;0;9;1;
15;1;0;14;0;
1;4;2;7;0;
3;0;0;16;0;
9;3;1;9;0;
15;60;0;1;4;
1;0;0;16;0;
7;27;0;4;2;
13;60;1;1;0;
14;14;1;6;0;
0;38;2;3;0;
1;2;0;12;1;
12;5;0;8;0;
13;4;1;9;0;
3;4;0;13;0;
5;9;1;6;0;
12;0;0;16;0;
13;8;1;7;0;
1;0;0;16;0;
2;15;0;4;1;
9;0;0;15;0;
10;6;1;9;1;
