laserCarId;Time Survived;Kills;Rank;Used Nitros;
0;2;1;10;0;
6;1;0;14;1;
12;0;0;15;0;
13;1;1;11;0;
3;2;0;10;0;
8;60;3;1;1;
13;1;0;12;0;
14;1;0;13;1;
2;4;1;7;0;
5;3;0;8;1;
6;3;0;10;1;
8;0;0;16;0;
0;2;0;11;0;
2;8;1;7;0;
7;0;0;15;0;
14;11;2;3;1;
10;9;2;5;1;
12;0;0;15;0;
13;0;1;14;0;
14;9;2;4;1;
2;0;0;15;0;
5;0;0;16;0;
8;1;0;13;0;
14;21;2;2;1;
1;1;3;13;0;
2;3;0;6;0;
12;1;0;12;0;
15;2;2;9;0;
1;3;0;9;0;
13;7;2;3;1;
14;3;2;5;0;
15;14;4;1;1;
3;1;1;11;0;
6;0;0;16;0;
9;0;0;15;0;
10;19;3;1;2;
4;7;0;8;2;
8;3;1;12;0;
13;2;0;15;0;
14;30;2;3;0;
3;1;0;12;1;
4;3;0;9;0;
6;5;3;7;0;
7;7;1;6;1;
4;1;0;12;0;
10;16;0;3;0;
12;2;0;8;0;
15;38;4;1;1;
1;0;0;15;0;
4;60;0;1;1;
12;10;2;6;1;
15;25;4;4;1;
1;0;0;16;0;
8;1;1;13;0;
9;7;2;6;0;
13;0;0;15;0;
2;0;0;16;0;
4;0;0;12;0;
6;0;0;15;0;
8;0;0;11;0;
3;48;1;2;2;
6;7;0;6;0;
12;1;0;13;0;
14;48;6;1;0;
1;14;1;2;2;
3;0;0;12;0;
11;2;0;10;0;
15;6;0;6;0;
3;11;3;4;0;
5;0;0;16;0;
13;6;1;7;1;
14;14;2;3;0;
1;48;1;2;3;
6;48;2;1;0;
9;1;0;9;0;
11;0;0;13;0;
1;0;0;14;0;
5;2;1;10;0;
9;54;2;2;1;
10;34;1;3;0;
1;7;3;3;0;
6;1;0;12;0;
9;4;1;7;1;
10;1;0;11;0;
1;0;0;16;0;
4;27;2;3;1;
5;2;0;10;0;
9;1;0;14;0;
2;6;1;8;0;
6;60;1;1;1;
8;2;0;9;1;
13;0;0;15;0;
1;3;0;10;0;
12;9;2;5;1;
13;29;2;2;0;
15;29;3;1;1;
2;2;0;11;0;
6;2;2;9;1;
9;5;0;6;0;
12;1;1;13;0;
4;3;0;9;0;
12;0;0;11;0;
13;16;1;3;1;
14;0;0;15;0;
0;2;0;11;0;
6;1;0;14;0;
7;6;1;6;1;
9;60;2;1;2;
1;20;0;1;0;
7;4;1;8;1;
8;0;0;14;0;
11;0;0;16;0;
