explosiveCarId;Time Survived;Kills;Rank;Used Nitros;Cars Exploded;
0;23;3;6;3;1;
6;28;2;3;1;0;
7;7;1;7;0;1;
8;28;2;4;1;1;
0;4;0;7;0;1;
3;26;3;1;1;0;
5;0;0;16;0;5;
14;0;0;14;0;3;
1;47;1;1;3;0;
7;1;0;13;0;1;
9;1;2;11;0;2;
14;14;1;4;0;1;
0;2;3;8;1;1;
2;0;0;16;0;3;
7;1;0;13;1;2;
8;18;1;3;1;0;
1;1;0;14;0;1;
6;7;0;9;0;1;
14;3;1;12;1;2;
15;1;0;15;0;2;
4;8;1;5;0;0;
6;1;1;13;1;3;
7;1;0;10;0;2;
8;0;0;16;0;2;
1;4;0;10;0;3;
3;9;2;5;0;2;
7;0;1;15;0;3;
12;19;2;3;0;1;
5;0;1;15;0;4;
7;60;1;1;0;0;
8;0;0;14;0;1;
10;9;1;6;1;2;
0;0;0;16;0;1;
3;9;2;5;0;1;
5;2;0;10;0;4;
8;3;0;8;0;2;
4;6;0;6;1;1;
8;0;0;14;0;3;
9;15;2;4;0;1;
10;1;1;12;1;3;
2;4;2;11;0;2;
3;4;1;10;0;2;
11;1;0;15;0;3;
15;6;0;6;0;2;
1;12;0;5;2;1;
10;60;1;1;0;0;
11;3;0;13;0;3;
14;56;1;3;1;1;
0;12;0;6;1;0;
1;7;0;7;0;1;
10;1;1;14;1;3;
11;2;0;10;0;1;
5;45;2;2;1;0;
6;0;0;14;0;3;
9;4;1;8;1;1;
14;45;2;3;0;1;
6;1;0;13;0;2;
7;2;1;11;1;2;
12;8;1;6;0;2;
15;23;3;3;0;1;
2;13;1;3;0;1;
5;46;0;2;0;1;
8;3;2;12;0;3;
13;3;2;11;0;2;
4;0;0;14;0;2;
9;0;0;15;0;2;
13;2;1;9;0;1;
14;0;3;12;0;3;
0;0;1;14;0;2;
2;6;1;5;2;1;
10;4;0;9;0;2;
12;0;0;15;0;2;
1;1;2;13;0;2;
4;1;1;14;0;3;
11;1;0;15;0;3;
12;26;0;3;1;0;
2;0;1;14;0;4;
8;0;0;15;0;2;
9;1;0;10;0;1;
12;6;2;5;0;1;
0;11;2;5;0;1;
7;1;0;16;0;2;
11;13;4;4;1;1;
15;2;0;14;0;3;
