explosiveCarId;Time Survived;Kills;Rank;Used Nitros;Cars Exploded;
11;2;0;10;0;4;
12;3;1;8;0;1;
13;6;1;5;0;1;
14;60;1;1;1;0;
3;4;1;9;0;0;
4;4;0;10;0;0;
12;2;1;11;0;1;
14;1;0;13;0;1;
2;8;1;4;1;1;
7;2;1;10;0;2;
12;2;1;9;0;1;
13;1;2;14;1;4;
4;6;0;7;1;2;
7;6;2;10;0;2;
8;6;4;8;2;1;
15;4;0;11;0;4;
11;3;1;12;0;2;
12;0;0;16;0;2;
13;1;0;14;1;3;
15;17;2;4;0;1;
0;9;1;3;2;1;
3;1;1;11;0;2;
5;1;2;10;1;1;
13;1;1;13;0;2;
4;2;1;12;0;1;
8;4;0;9;1;0;
14;7;3;7;0;1;
15;60;3;1;2;0;
0;2;0;10;0;0;
2;1;0;13;0;3;
8;1;0;15;0;1;
15;3;1;6;0;1;
4;2;0;13;0;2;
9;0;0;14;0;3;
12;26;3;3;1;1;
13;0;0;15;0;1;
2;0;0;16;0;3;
9;7;0;5;0;1;
14;60;1;1;3;0;
15;3;0;9;2;1;
1;5;2;6;0;0;
6;4;2;9;1;2;
10;2;0;11;0;4;
14;60;0;1;0;0;
7;0;1;13;0;2;
9;60;2;1;2;0;
10;0;0;15;0;4;
11;0;1;16;0;6;
3;2;0;11;0;2;
4;2;1;10;0;2;
5;2;0;9;2;1;
7;6;2;5;1;1;
0;3;0;8;2;0;
2;2;2;13;0;2;
7;12;0;4;1;1;
12;0;0;16;0;1;
7;54;2;1;2;0;
11;0;1;14;0;3;
13;1;0;12;0;1;
15;2;2;10;1;1;
3;0;0;13;0;2;
5;2;1;10;0;3;
11;4;2;6;0;2;
12;0;0;16;0;2;
0;2;1;10;0;2;
5;0;0;16;0;5;
11;3;0;6;2;0;
13;15;1;2;0;1;
0;6;0;4;1;0;
1;4;2;7;0;2;
7;4;0;5;1;2;
10;2;0;9;1;1;
0;2;1;13;0;1;
2;8;1;7;1;1;
5;60;2;1;0;0;
6;13;1;6;0;1;
1;5;1;6;1;1;
7;2;1;13;0;3;
11;2;0;12;2;2;
15;10;1;5;0;2;
1;6;1;7;1;1;
11;1;0;13;1;2;
13;14;2;4;1;1;
15;60;3;1;1;0;
1;20;1;5;3;1;
4;0;1;15;0;1;
8;4;0;8;0;0;
12;3;1;10;0;1;
0;13;1;4;0;1;
6;0;0;16;0;2;
11;5;0;9;0;1;
14;11;0;5;0;1;
0;15;1;5;1;1;
2;3;1;8;0;1;
7;0;1;16;0;3;
8;0;2;15;0;3;
0;5;1;8;0;0;
5;2;1;13;0;2;
7;21;0;4;0;1;
12;35;1;1;1;0;
3;0;0;14;0;4;
7;7;0;6;0;1;
11;7;0;5;0;1;
14;7;3;4;2;1;
0;44;1;3;0;1;
2;1;0;14;0;3;
3;2;0;13;0;1;
11;44;1;1;1;0;
0;6;1;6;1;2;
2;0;0;15;0;3;
5;3;3;9;1;1;
9;9;0;5;0;1;
2;1;0;13;0;3;
4;60;1;1;1;0;
13;60;2;1;1;0;
14;2;1;11;1;1;
3;2;0;12;1;3;
8;10;1;8;0;1;
11;60;2;1;0;0;
15;10;1;7;1;0;
0;27;1;1;1;0;
3;11;2;5;0;3;
14;1;0;15;1;5;
15;27;2;2;3;1;
2;1;0;15;0;3;
7;2;1;14;1;2;
9;2;0;12;0;3;
14;21;4;2;0;0;
3;0;0;16;0;2;
8;3;0;9;1;1;
14;7;1;8;1;1;
15;7;3;7;0;2;
3;2;0;10;1;2;
6;0;1;15;0;3;
11;23;3;1;0;0;
13;2;0;8;0;1;
0;2;2;10;1;2;
1;2;0;11;1;3;
6;16;2;3;2;0;
13;2;2;12;0;4;
4;0;0;16;0;2;
5;7;1;5;1;0;
8;2;1;10;2;1;
11;0;0;15;0;5;
2;32;1;2;1;1;
6;4;0;6;1;3;
11;3;1;8;1;2;
12;1;1;11;0;4;
0;2;0;7;0;2;
2;2;2;9;0;1;
3;0;0;16;0;1;
8;1;0;14;1;2;
6;60;2;1;0;0;
8;1;1;14;0;4;
12;0;0;16;0;4;
14;4;1;10;0;1;
2;22;2;2;1;0;
5;5;0;6;0;1;
8;1;0;14;0;2;
14;1;1;16;0;1;
1;12;2;5;1;1;
9;24;1;3;0;1;
12;1;0;12;0;2;
15;24;2;1;0;0;
1;29;3;1;3;0;
9;2;1;12;0;3;
14;0;0;16;0;2;
15;3;1;10;1;3;
2;13;1;5;0;1;
8;1;0;16;0;2;
11;5;3;11;0;1;
15;18;2;4;0;2;
3;3;0;7;1;1;
8;25;3;1;0;0;
11;2;0;12;0;3;
12;3;1;10;0;2;
1;0;0;16;0;3;
3;1;1;13;1;3;
8;3;1;10;0;3;
15;14;1;4;1;1;
4;0;0;13;0;4;
5;3;0;8;1;2;
13;2;1;10;0;2;
14;5;3;6;1;1;
1;0;1;13;0;4;
3;4;0;7;1;0;
9;4;2;6;2;2;
14;4;1;9;0;2;
5;3;0;10;0;2;
6;3;1;11;0;1;
7;1;0;15;1;2;
10;4;1;9;1;3;
6;5;0;9;0;1;
7;1;0;15;1;2;
8;9;0;7;0;0;
9;28;2;4;1;1;
0;0;0;14;0;1;
5;12;0;4;1;2;
8;2;1;11;0;3;
12;0;1;15;0;1;
0;33;2;1;1;0;
3;5;0;7;0;0;
8;0;0;15;0;2;
13;5;3;8;0;1;
2;0;0;16;0;3;
3;5;0;6;0;1;
5;60;1;1;2;0;
8;3;1;7;0;1;
5;0;0;16;0;2;
6;0;0;15;0;2;
10;2;2;8;1;2;
11;12;1;3;1;1;
0;29;4;2;0;1;
1;24;2;3;1;1;
3;2;0;12;0;3;
15;29;2;1;0;0;
4;31;3;2;0;1;
6;0;0;16;0;3;
8;1;2;14;0;2;
12;11;1;5;1;2;
1;4;0;9;1;1;
4;3;0;10;0;2;
7;8;0;6;0;3;
9;11;2;3;1;1;
3;2;1;8;0;1;
6;2;1;9;0;3;
10;1;1;14;0;5;
11;1;1;12;0;3;
9;3;0;7;1;2;
10;3;1;8;0;2;
13;2;1;10;0;1;
14;60;0;1;0;0;
3;1;0;13;0;3;
9;5;3;4;2;0;
11;0;1;16;0;2;
12;14;1;2;1;1;
5;13;3;3;1;0;
7;3;1;9;0;1;
11;3;2;8;1;2;
15;1;1;13;0;3;
3;20;1;4;1;1;
9;8;1;7;0;1;
10;2;0;13;0;3;
15;45;2;2;0;1;
1;4;0;8;0;0;
5;0;0;15;0;3;
12;0;0;14;0;3;
13;3;1;10;1;1;
2;0;0;16;0;3;
7;1;1;13;0;4;
8;1;1;11;0;1;
11;2;2;10;1;2;
3;2;1;9;0;2;
6;1;0;12;0;2;
8;0;0;16;0;2;
13;60;3;1;3;0;
3;3;1;12;1;2;
5;6;0;8;0;1;
6;7;1;7;0;2;
15;41;1;4;0;1;
1;0;1;13;0;3;
7;2;1;7;1;1;
9;2;2;8;1;2;
10;49;3;1;1;0;
0;3;0;11;0;0;
2;1;1;14;0;1;
11;2;0;12;1;2;
13;3;1;9;0;2;
0;8;2;5;1;3;
2;4;2;8;0;1;
12;8;0;3;1;1;
13;0;0;14;0;1;
2;7;1;5;2;1;
6;1;3;13;1;3;
7;1;0;12;0;3;
8;1;0;11;0;0;
0;15;0;4;1;1;
4;0;0;15;0;2;
5;0;1;16;0;5;
10;6;4;6;0;1;
3;7;1;5;1;1;
6;5;1;7;2;2;
11;0;0;15;0;2;
15;4;1;8;1;1;
5;7;2;6;0;2;
8;2;1;10;0;3;
14;2;0;9;0;2;
15;7;1;4;1;1;
6;1;0;15;0;2;
8;1;0;13;0;4;
14;13;2;5;0;1;
15;59;0;2;1;1;
1;0;0;13;1;3;
4;0;0;14;0;4;
7;11;0;4;2;1;
10;0;0;16;0;2;
2;3;1;8;1;0;
7;0;0;16;0;3;
9;0;0;14;0;3;
14;25;3;4;1;0;
1;10;1;5;0;2;
4;1;0;12;0;5;
7;2;3;10;0;4;
13;10;1;4;0;0;
1;0;0;16;0;3;
5;3;1;7;0;1;
6;3;0;10;0;1;
9;0;0;12;0;3;
1;60;0;1;0;0;
5;2;0;13;0;2;
13;15;2;5;0;2;
14;0;0;15;0;2;
2;0;0;15;0;3;
3;20;2;3;1;1;
10;4;0;9;0;2;
12;2;1;12;1;3;
