explosiveCarId;Time Survived;Kills;Rank;Used Nitros;Cars Exploded;
3;1;1;10;0;1;
7;0;0;16;0;2;
12;0;2;13;0;3;
13;0;0;14;0;5;
2;2;0;12;1;3;
5;4;2;8;0;1;
12;13;1;3;1;0;
14;2;0;10;0;1;
1;10;1;8;0;1;
6;52;0;3;0;1;
8;2;0;15;0;3;
15;39;2;4;0;2;
0;26;3;4;0;2;
6;1;1;14;1;4;
11;1;1;13;0;3;
14;0;0;15;0;2;
2;18;2;4;2;1;
3;4;1;10;0;2;
4;1;0;16;1;1;
8;2;0;12;0;2;
7;8;1;5;0;0;
9;1;0;15;0;4;
11;1;0;13;0;2;
13;8;2;6;0;1;
1;14;2;5;0;1;
4;2;2;10;0;2;
6;14;1;4;0;0;
7;60;1;1;3;0;
8;26;3;3;0;2;
13;20;2;4;0;1;
14;1;0;13;0;2;
15;6;0;7;0;1;
2;5;0;8;0;2;
5;3;2;14;0;3;
10;5;1;9;1;1;
11;6;1;7;0;2;
1;19;3;5;1;1;
7;1;0;12;0;2;
14;7;1;9;0;1;
15;3;2;10;0;1;
2;34;1;4;1;1;
5;2;0;14;0;1;
8;1;0;15;0;1;
14;13;2;7;1;2;
1;3;1;12;1;1;
3;4;1;10;0;2;
6;0;0;14;0;2;
14;7;0;9;0;3;
1;22;1;4;2;0;
2;0;0;16;0;4;
8;4;1;9;0;2;
15;7;0;6;0;1;
10;2;0;13;0;2;
12;4;3;10;0;2;
13;42;4;2;1;1;
15;2;0;11;0;1;
2;0;0;16;0;3;
4;4;0;10;0;1;
13;2;0;13;0;2;
15;16;2;4;1;1;
0;12;3;9;1;1;
6;8;0;11;1;2;
8;18;1;5;1;1;
12;27;1;2;2;1;
2;2;0;11;0;1;
6;60;2;1;3;0;
7;8;2;4;1;0;
9;8;1;5;0;1;
5;11;0;5;0;1;
6;2;0;12;1;2;
8;0;0;15;0;3;
13;3;0;11;0;3;
8;39;1;2;0;1;
9;11;2;8;1;1;
13;5;1;10;0;2;
15;3;0;12;0;2;
2;13;1;9;1;0;
8;5;0;11;0;1;
9;15;2;7;0;1;
15;13;1;8;0;1;
0;11;0;7;0;1;
6;4;0;12;1;2;
12;0;1;15;0;3;
13;5;2;9;1;1;
6;10;0;6;0;1;
9;2;1;11;0;2;
11;1;1;13;1;3;
15;24;3;3;1;1;
0;26;1;4;1;1;
10;16;3;5;1;0;
14;16;2;6;0;1;
15;1;0;14;1;1;
5;5;1;5;1;0;
6;2;0;9;0;0;
9;1;1;14;1;1;
13;1;1;15;0;2;
4;1;0;9;0;2;
6;1;1;12;0;3;
9;2;0;7;1;2;
15;1;0;10;0;1;
0;0;1;15;0;2;
1;17;2;3;1;0;
8;7;0;7;0;1;
12;1;1;12;0;2;
2;4;0;10;1;0;
8;0;0;16;0;4;
12;1;0;14;0;4;
14;2;1;13;0;1;
2;1;0;15;0;1;
4;2;0;13;0;3;
8;5;0;8;0;3;
11;1;0;14;1;1;
3;1;0;15;0;3;
4;9;0;4;0;1;
7;2;2;13;0;2;
8;3;0;9;0;1;
3;1;0;13;0;2;
4;2;1;12;0;1;
10;49;1;3;0;1;
12;0;0;15;0;2;
6;4;0;8;0;2;
10;0;3;15;0;2;
11;0;0;16;0;3;
14;39;1;3;1;1;
1;2;1;8;0;1;
4;17;0;4;4;2;
7;0;0;16;0;4;
13;1;2;11;0;1;
2;52;2;2;1;1;
11;7;0;9;0;3;
13;7;1;10;2;2;
14;16;3;6;1;1;
0;4;2;9;0;0;
3;24;3;4;1;1;
9;8;0;8;1;2;
10;9;0;7;0;0;
3;6;0;5;0;1;
9;4;1;9;0;2;
12;4;1;8;0;1;
15;43;2;1;2;0;
0;17;3;7;1;1;
4;25;3;3;2;1;
5;17;0;8;0;2;
9;20;3;6;0;1;
7;9;0;8;0;1;
8;3;0;12;0;1;
10;0;0;15;0;1;
13;43;0;2;2;0;
0;12;0;8;0;1;
8;0;0;16;0;2;
9;6;2;11;0;1;
12;20;0;6;0;2;
2;4;2;8;0;1;
7;0;0;13;0;2;
9;5;0;6;1;1;
15;1;0;12;0;1;
1;36;2;3;0;1;
2;3;0;13;0;1;
6;3;1;12;0;3;
8;4;2;10;0;4;
0;1;1;13;0;3;
8;8;0;4;1;1;
12;7;1;5;0;1;
14;44;2;2;2;1;
6;0;0;14;0;3;
10;0;0;16;0;1;
11;7;1;9;0;1;
13;3;0;10;1;0;
3;49;0;3;2;2;
6;1;0;14;0;3;
12;7;2;9;0;2;
14;7;1;10;0;2;
4;4;0;10;0;2;
12;1;0;13;0;1;
13;60;3;1;1;0;
14;9;1;8;1;1;
0;50;2;3;2;1;
2;5;1;9;2;1;
8;0;0;16;0;3;
11;1;0;13;0;1;
2;1;0;14;0;1;
4;15;1;6;2;2;
8;2;0;13;0;2;
13;5;1;10;0;1;
3;2;0;10;0;2;
5;0;0;16;0;3;
6;20;2;4;2;1;
7;3;1;9;0;2;
4;23;1;4;2;1;
6;5;1;11;0;3;
12;9;0;7;1;1;
14;23;2;3;0;0;
4;4;0;11;0;2;
7;22;2;4;1;1;
11;1;0;15;0;3;
14;60;1;1;0;0;
3;8;1;7;0;3;
11;0;1;15;1;3;
12;7;1;9;0;2;
14;60;2;1;1;0;
1;4;0;13;1;1;
3;1;0;15;0;2;
4;26;0;4;1;1;
13;4;2;12;0;1;
5;7;2;8;0;1;
9;60;1;1;2;0;
11;0;0;16;0;4;
12;0;1;14;0;3;
1;1;0;14;0;2;
5;2;0;10;0;1;
7;11;0;6;1;1;
10;1;1;13;0;1;
7;0;0;16;1;3;
8;4;1;8;1;2;
11;3;1;11;1;2;
13;31;1;4;0;1;
3;13;2;7;0;1;
10;12;1;8;1;1;
14;9;0;10;2;2;
15;34;1;4;1;1;
0;60;1;1;0;0;
3;19;0;5;0;0;
8;4;1;10;1;1;
9;2;0;13;0;3;
3;2;0;9;0;2;
6;0;0;13;0;1;
8;0;0;16;0;2;
10;0;1;15;0;4;
6;13;0;5;0;2;
9;0;1;15;0;2;
11;6;1;7;0;1;
12;2;1;12;0;2;
2;7;1;8;0;2;
7;0;1;15;0;3;
9;0;0;16;0;2;
11;1;0;13;0;1;
2;9;1;9;0;0;
10;9;1;8;0;1;
11;5;1;12;0;1;
15;19;0;5;2;1;
0;3;1;9;0;3;
2;1;0;11;1;3;
3;1;0;10;0;1;
9;1;1;14;0;2;
4;7;2;8;2;2;
11;7;2;9;0;2;
13;7;1;6;0;1;
14;0;0;16;0;2;
1;2;1;10;1;1;
4;2;2;11;0;2;
6;12;1;7;0;2;
15;23;1;5;1;0;
3;19;2;3;1;1;
7;18;2;4;1;1;
9;11;0;6;0;1;
11;19;2;1;1;0;
6;1;1;12;1;2;
8;1;1;14;0;3;
12;0;0;16;0;1;
15;60;0;1;1;0;
0;2;0;14;0;1;
9;12;2;5;2;1;
10;4;0;10;0;2;
12;2;0;12;0;2;
9;18;0;3;0;1;
10;0;0;16;0;2;
12;2;2;12;0;2;
15;60;1;1;0;0;
10;5;0;12;0;1;
11;12;2;7;0;2;
12;0;0;16;0;2;
15;14;3;6;0;1;
5;0;0;16;0;4;
7;3;0;10;0;1;
10;5;1;8;2;1;
14;10;1;6;1;1;
0;4;0;11;1;1;
8;3;0;12;0;1;
10;32;2;4;1;1;
11;6;2;9;0;1;
3;0;0;16;0;3;
4;9;1;6;2;0;
5;0;1;15;0;3;
8;3;0;11;0;0;
6;15;1;8;1;2;
8;7;0;9;0;1;
10;60;0;1;1;0;
13;60;1;1;0;0;
3;3;1;10;0;1;
6;14;1;6;1;1;
10;16;0;5;0;1;
12;0;0;16;0;1;
0;15;1;5;0;1;
8;15;1;4;3;0;
12;1;1;16;0;2;
13;14;0;6;0;1;
9;14;1;7;1;1;
11;60;0;1;0;0;
13;10;1;8;1;2;
15;27;1;4;1;1;
0;50;0;3;0;1;
9;14;2;6;0;1;
13;11;0;8;0;2;
15;60;2;1;1;0;
1;1;2;16;0;3;
3;3;0;10;0;2;
7;18;1;4;0;1;
8;1;0;12;1;1;
5;1;1;15;1;3;
7;1;0;16;0;4;
9;3;2;11;0;2;
13;4;1;9;0;1;
3;5;2;10;1;1;
4;5;1;11;1;2;
6;0;0;16;0;2;
13;1;0;14;0;4;
3;0;0;15;0;1;
5;2;0;9;0;2;
11;0;1;14;0;4;
14;0;1;13;0;1;
4;3;2;9;0;3;
6;0;0;14;0;2;
10;0;0;16;0;2;
11;23;2;3;2;1;
1;7;0;7;0;1;
10;3;1;10;0;1;
12;2;1;14;0;1;
15;2;2;13;0;0;
2;60;1;1;0;0;
7;6;2;8;0;1;
11;0;0;15;0;3;
15;1;0;12;1;2;
3;0;0;16;0;3;
5;2;0;13;0;1;
12;14;1;4;0;0;
13;14;2;6;0;3;
2;8;1;7;1;0;
6;37;2;2;0;1;
7;4;0;12;0;2;
11;14;1;5;0;1;
0;60;2;1;0;0;
6;2;1;11;1;1;
7;1;0;13;0;2;
13;2;2;12;0;2;
5;4;1;11;0;1;
7;23;0;5;0;1;
8;24;2;4;0;1;
9;0;0;15;0;4;
2;4;0;9;1;1;
8;60;0;1;0;0;
9;0;0;14;0;4;
10;0;1;13;0;2;
0;6;0;8;0;0;
4;3;0;11;0;1;
8;9;2;7;0;2;
9;0;0;16;0;2;
3;10;0;6;1;0;
7;10;2;8;1;1;
8;21;0;3;0;1;
13;50;1;1;0;0;
1;33;2;4;0;3;
7;12;0;6;0;1;
10;1;2;12;0;2;
15;1;0;11;1;1;
0;5;1;8;0;0;
2;8;0;7;1;0;
4;9;2;6;0;1;
7;60;0;1;1;0;
2;3;1;10;0;0;
8;3;1;9;0;1;
11;20;2;4;0;1;
12;3;0;8;0;1;
2;19;0;4;0;1;
8;2;0;14;0;2;
12;8;1;7;1;1;
15;8;1;8;0;1;
5;11;1;4;1;1;
6;8;2;7;0;3;
10;10;2;5;0;2;
15;2;1;14;1;2;
5;2;1;10;0;1;
7;1;0;12;0;3;
12;0;0;15;0;1;
13;6;1;7;0;1;
5;6;2;9;0;2;
6;19;0;5;1;1;
9;9;1;6;1;2;
10;1;0;15;0;2;
0;2;1;13;0;1;
1;2;1;12;1;1;
2;18;2;4;0;1;
8;8;0;7;1;0;
1;1;0;13;0;3;
9;27;4;2;0;1;
11;7;1;9;1;2;
14;21;0;3;1;1;
1;3;0;12;0;2;
5;1;0;13;1;1;
8;0;0;15;0;2;
15;3;0;10;0;1;
