normalCarId;Time Survived;Kills;Rank;Used Nitros;
3;2;1;13;0;
5;6;0;7;0;
13;3;0;11;1;
2;16;2;4;1;
4;0;0;15;0;
6;4;0;10;1;
13;7;0;8;1;
5;3;0;13;0;
6;14;1;5;1;
8;0;0;15;0;
14;7;0;10;0;
1;60;2;1;1;
3;3;1;9;1;
12;10;3;5;0;
13;0;0;14;0;
1;10;0;8;0;
3;0;0;16;0;
5;3;0;14;0;
15;6;1;10;0;
2;25;1;2;1;
6;3;0;10;0;
11;6;0;8;0;
14;13;1;4;0;
0;1;0;14;1;
3;3;0;12;0;
7;15;2;7;1;
9;2;0;13;0;
1;2;0;13;0;
2;3;1;11;0;
5;0;0;15;0;
15;5;1;8;0;
4;2;0;14;1;
11;3;0;12;0;
14;7;1;11;0;
15;1;1;15;0;
2;15;2;6;0;
3;0;0;15;0;
6;9;1;10;1;
14;60;1;1;0;
2;6;1;9;0;
4;3;0;11;0;
7;3;0;12;0;
14;18;1;4;4;
4;5;0;7;0;
9;43;3;2;3;
11;4;1;8;0;
15;2;0;11;0;
0;4;0;8;0;
1;13;3;4;0;
6;33;1;2;2;
15;3;1;12;0;
8;1;0;13;0;
11;6;1;8;0;
14;13;2;5;0;
15;3;0;12;1;
1;0;0;16;0;
10;6;1;7;2;
12;0;0;12;0;
15;60;0;1;1;
5;2;1;10;0;
8;0;0;15;0;
13;33;2;1;0;
14;1;0;12;0;
3;4;0;9;0;
4;7;0;8;1;
8;0;0;16;0;
13;0;0;15;0;
0;2;0;11;0;
5;14;0;7;2;
6;0;0;16;0;
9;0;0;14;0;
0;4;1;10;0;
4;0;0;15;0;
6;8;0;8;0;
11;1;0;14;1;
3;6;0;9;0;
5;3;1;13;1;
8;5;0;10;0;
9;1;0;14;0;
2;9;0;7;2;
9;1;1;14;0;
10;0;0;16;0;
11;16;0;5;2;
0;8;0;9;0;
6;0;0;16;0;
10;60;2;1;0;
12;2;1;13;0;
5;6;0;8;0;
6;60;3;1;1;
14;7;0;6;1;
15;23;1;3;0;
10;0;0;14;1;
12;14;1;5;1;
13;3;0;10;0;
15;0;0;15;0;
0;6;0;10;1;
4;13;0;5;1;
12;3;1;14;0;
14;0;0;15;0;
0;39;1;2;2;
6;0;0;14;0;
8;39;3;1;0;
9;5;2;9;1;
1;4;0;10;1;
5;3;0;11;1;
11;2;0;14;1;
13;1;0;15;1;
1;2;1;12;1;
5;13;2;6;0;
6;29;2;2;0;
10;29;2;1;2;
5;3;0;12;1;
6;3;0;13;0;
13;13;2;6;1;
14;37;2;2;0;
2;11;2;2;0;
4;2;0;12;0;
11;5;0;8;0;
13;1;0;15;1;
2;29;1;3;1;
4;8;0;6;1;
14;0;0;14;0;
15;6;1;8;1;
2;2;0;14;0;
8;4;0;10;1;
13;3;1;12;0;
14;60;1;1;0;
4;2;0;11;0;
6;3;0;9;0;
12;25;2;3;2;
14;60;1;1;1;
0;9;0;6;0;
2;1;0;14;1;
3;16;2;4;0;
15;14;1;5;0;
3;0;0;16;0;
7;1;1;14;0;
10;60;1;1;0;
14;21;1;5;1;
