normalCarId;Time Survived;Kills;Rank;Used Nitros;
1;0;0;15;0;
2;1;0;11;0;
10;3;0;8;0;
11;0;1;12;0;
3;2;0;11;1;
4;2;0;9;0;
10;0;0;15;0;
13;8;1;4;1;
3;3;1;14;1;
7;4;1;11;1;
10;8;0;9;1;
11;8;0;10;1;
7;1;0;12;0;
9;5;0;10;0;
10;26;1;2;2;
12;7;1;8;1;
0;1;0;15;0;
6;4;1;8;1;
9;10;0;6;1;
14;2;0;13;0;
0;2;1;11;0;
1;5;1;9;1;
6;6;0;8;0;
12;4;1;10;0;
0;8;0;6;0;
3;2;0;9;0;
10;5;0;7;0;
13;1;0;14;1;
0;8;2;5;0;
5;5;0;8;0;
9;26;1;2;1;
10;3;0;12;0;
0;4;1;11;1;
6;0;0;16;1;
9;3;0;12;0;
13;14;1;3;1;
2;0;0;15;0;
4;11;0;6;0;
8;9;0;8;1;
11;47;1;2;0;
6;60;2;1;1;
7;6;0;10;0;
12;13;1;8;0;
15;4;1;11;1;
2;15;1;5;0;
4;0;0;16;0;
7;41;3;1;1;
9;1;1;13;0;
0;3;1;10;0;
7;2;0;11;0;
11;0;0;14;0;
14;15;0;5;1;
0;15;0;6;2;
2;5;0;7;0;
4;4;0;9;0;
6;4;1;8;0;
3;4;0;8;1;
5;13;2;5;3;
7;4;0;9;0;
12;1;0;14;0;
1;10;0;10;0;
3;27;2;1;1;
10;13;0;7;0;
11;25;2;3;0;
4;3;0;10;0;
10;5;1;9;0;
11;0;0;16;0;
12;5;0;8;0;
4;10;0;6;0;
9;60;0;1;1;
10;8;0;8;1;
11;1;0;14;0;
0;15;1;6;0;
1;4;0;11;0;
5;2;0;13;0;
6;6;0;9;2;
3;60;0;1;1;
6;60;1;1;0;
12;16;0;5;0;
14;4;0;12;2;
2;51;0;4;1;
3;60;3;1;0;
8;19;0;6;2;
10;5;1;10;1;
7;4;0;9;0;
10;6;0;8;0;
13;2;2;10;0;
14;7;0;7;0;
2;3;1;11;0;
4;60;1;1;0;
11;0;0;15;0;
12;9;0;7;0;
0;2;0;11;0;
8;2;0;12;0;
11;1;0;13;0;
14;40;1;1;2;
0;8;0;4;0;
5;3;0;6;0;
7;2;0;8;0;
12;0;0;14;0;
4;1;0;13;0;
7;8;1;6;1;
9;6;0;8;0;
15;60;0;1;2;
0;7;0;8;1;
10;3;0;11;1;
11;10;1;7;1;
13;7;0;9;1;
3;3;1;11;0;
6;26;0;3;0;
9;30;4;2;0;
13;10;2;4;1;
0;7;1;7;0;
5;3;0;11;0;
9;1;0;14;0;
10;7;1;6;0;
0;11;0;5;1;
1;60;3;1;2;
2;4;0;10;0;
13;1;1;14;0;
2;60;2;1;1;
7;3;1;9;0;
8;0;1;14;0;
12;0;0;13;1;
2;2;1;7;0;
5;7;1;6;0;
11;1;0;13;0;
14;1;1;12;0;
7;52;2;1;1;
10;21;0;4;2;
12;0;0;15;0;
15;10;0;8;0;
1;1;0;13;0;
5;3;0;10;0;
6;24;2;3;2;
12;3;0;11;1;
2;2;0;13;0;
5;0;0;16;0;
10;4;1;6;0;
13;0;0;15;0;
6;11;0;9;0;
10;0;0;15;0;
12;2;0;11;0;
14;10;0;10;1;
1;18;1;4;1;
2;4;2;11;0;
11;7;0;9;0;
14;15;0;5;1;
5;3;0;12;0;
6;2;0;13;0;
13;1;0;14;0;
15;6;2;10;1;
0;2;0;11;1;
6;12;3;4;1;
8;5;0;7;0;
12;3;1;10;1;
4;20;0;4;1;
5;5;1;6;1;
14;2;1;14;0;
15;4;0;8;0;
2;39;1;3;2;
3;1;0;12;0;
9;4;0;8;0;
11;3;0;9;1;
0;7;0;8;0;
1;8;0;7;1;
3;1;1;12;0;
4;2;0;11;0;
0;1;0;12;0;
5;0;0;16;0;
8;7;2;6;0;
9;60;3;1;0;
0;5;2;9;0;
5;3;0;12;1;
6;24;1;4;0;
7;0;0;16;0;
5;7;0;7;1;
9;3;0;11;0;
10;60;0;1;2;
12;1;0;14;1;
0;3;0;11;0;
5;1;0;15;0;
12;54;0;3;1;
15;1;0;16;0;
1;6;0;7;1;
8;11;0;6;0;
10;3;1;8;1;
12;1;0;13;1;
5;6;1;9;0;
9;10;0;6;0;
10;0;0;15;0;
15;3;0;13;1;
1;15;1;7;0;
5;1;0;16;0;
10;9;0;9;0;
15;4;1;14;0;
1;2;0;12;0;
2;4;0;10;0;
10;1;0;13;0;
13;30;0;4;1;
6;4;0;11;1;
7;47;3;2;2;
12;9;0;9;0;
14;0;0;16;0;
1;0;0;12;0;
4;1;0;11;0;
6;11;0;4;0;
7;3;0;9;0;
11;1;1;11;0;
13;17;2;5;3;
14;46;2;2;1;
15;2;0;9;1;
0;35;2;3;0;
4;47;2;2;1;
9;5;0;7;0;
12;9;2;6;0;
6;60;0;1;1;
7;13;3;6;1;
11;1;0;15;1;
12;1;0;14;0;
2;3;0;11;0;
6;2;0;12;0;
7;1;0;14;0;
13;60;1;1;1;
0;10;1;6;1;
1;1;0;12;1;
2;9;1;7;1;
14;39;1;3;0;
8;0;0;16;0;
10;7;1;6;1;
13;2;1;11;0;
15;60;2;1;3;
4;1;0;12;1;
5;26;1;4;1;
10;0;1;14;0;
15;21;0;5;3;
3;28;4;3;0;
4;7;1;11;1;
7;20;1;4;2;
12;4;0;13;0;
5;12;2;4;1;
6;3;0;8;0;
7;0;0;16;0;
11;1;0;12;0;
1;4;0;11;0;
2;8;0;4;0;
9;4;0;10;0;
15;7;2;5;0;
3;0;0;16;0;
5;0;1;15;0;
12;16;0;6;0;
13;60;2;1;2;
1;2;1;12;1;
2;2;0;13;1;
5;5;1;9;0;
14;1;0;15;0;
0;10;2;6;1;
3;3;0;10;0;
5;7;1;8;1;
10;35;0;5;0;
2;0;1;15;0;
