tirePopperCarId;Time Survived;Kills;Rank;Used Nitros;Damaged Tires;
14;9;2;6;0;11;
3;2;0;13;0;0;
6;25;5;1;0;19;
7;0;0;14;0;1;
10;7;1;7;0;12;
7;1;0;12;0;1;
8;34;3;3;0;11;
11;32;2;4;0;17;
14;0;0;13;0;1;
6;19;3;2;0;8;
12;5;0;8;1;1;
13;0;0;16;0;0;
15;3;1;10;0;6;
2;0;0;15;0;0;
11;2;0;11;0;0;
13;42;1;4;0;5;
14;7;4;7;0;17;
1;6;1;8;1;10;
4;0;0;16;0;4;
14;12;2;4;0;9;
15;12;1;6;1;13;
0;60;2;1;0;8;
3;13;4;5;0;12;
7;12;1;7;0;7;
14;2;2;11;1;11;
1;60;2;1;2;17;
4;9;1;8;0;5;
9;38;2;4;1;10;
13;7;0;9;2;4;
6;60;1;1;1;3;
8;21;2;4;2;15;
9;0;0;15;0;0;
15;22;1;3;1;5;
2;20;1;6;1;8;
6;60;1;1;0;6;
7;18;1;7;1;12;
13;3;0;13;1;14;
0;25;5;1;0;10;
1;1;0;14;0;1;
9;14;3;3;2;15;
15;3;0;12;1;1;
1;16;1;6;1;10;
2;20;3;4;1;20;
14;4;0;11;0;1;
15;17;1;5;2;12;
4;4;1;9;1;5;
9;37;2;3;0;11;
11;3;1;12;0;12;
13;60;2;1;2;9;
1;36;0;3;1;0;
6;9;0;9;0;0;
9;60;2;1;2;12;
10;11;3;7;1;13;
0;49;4;3;0;19;
1;9;0;9;0;0;
8;1;0;12;0;0;
12;23;2;5;1;14;
5;60;3;1;1;15;
6;0;0;16;0;1;
8;5;1;10;0;8;
10;14;3;5;0;10;
0;43;2;1;1;5;
10;1;0;13;0;7;
13;12;2;5;0;13;
14;36;2;3;1;9;
2;6;0;7;0;0;
10;2;0;13;0;3;
11;33;3;1;2;12;
14;23;1;3;1;3;
1;30;2;1;3;9;
5;12;1;6;1;3;
9;10;2;7;0;10;
10;30;1;2;1;5;
0;3;2;8;0;10;
4;9;0;5;0;0;
6;9;0;6;2;0;
7;16;2;4;0;8;
1;3;0;7;1;0;
3;0;0;13;0;2;
9;3;1;8;1;6;
15;33;2;2;0;10;
